序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
282,301345,涛涛车业,0.13,4.9,323.89,2024年4季度股票投资明细
283,688062,迈威生物,0.13,16.0,323.17,2024年4季度股票投资明细
284,300759,康龙化成,0.13,12.42,319.19,2024年4季度股票投资明细
285,600062,华润双鹤,0.13,16.12,319.18,2024年4季度股票投资明细
286,002563,森马服饰,0.12,44.03,309.09,2024年4季度股票投资明细
287,301239,普瑞眼科,0.12,6.58,308.6,2024年4季度股票投资明细
288,001323,慕思股份,0.12,7.72,291.89,2024年4季度股票投资明细
289,002884,凌霄泵业,0.11,15.51,283.37,2024年4季度股票投资明细
290,002897,意华股份,0.11,6.63,274.15,2024年4季度股票投资明细
291,300896,爱美客,0.11,1.47,267.95,2024年4季度股票投资明细
292,002432,九安医疗,0.11,6.53,266.29,2024年4季度股票投资明细
293,301087,可孚医疗,0.1,6.78,239.74,2024年4季度股票投资明细
294,002332,仙琚制药,0.09,23.66,235.18,2024年4季度股票投资明细
295,600761,安徽合力,0.09,13.28,234.39,2024年4季度股票投资明细
296,301363,美好医疗,0.09,6.78,219.81,2024年4季度股票投资明细
297,002698,博实股份,0.09,12.92,219.64,2024年4季度股票投资明细
298,603998,方盛制药,0.09,21.05,219.34,2024年4季度股票投资明细
299,300558,贝达药业,0.08,3.89,209.79,2024年4季度股票投资明细
300,688382,益方生物,0.08,15.05,200.22,2024年4季度股票投资明细
301,301333,诺思格,0.07,3.62,180.94,2024年4季度股票投资明细
302,600511,国药股份,0.07,5.05,172.81,2024年4季度股票投资明细
303,300705,九典制药,0.07,9.4,168.73,2024年4季度股票投资明细
304,688278,特宝生物,0.07,2.29,167.78,2024年4季度股票投资明细
305,002262,恩华药业,0.06,6.58,160.22,2024年4季度股票投资明细
306,688336,三生国健,0.06,7.32,156.78,2024年4季度股票投资明细
307,603855,华荣股份,0.06,6.84,138.78,2024年4季度股票投资明细
308,002317,众生药业,0.05,11.28,137.05,2024年4季度股票投资明细
309,300298,三诺生物,0.05,5.2,134.21,2024年4季度股票投资明细
310,600566,济川药业,0.05,4.52,131.44,2024年4季度股票投资明细
311,688192,迪哲医药,0.05,3.01,124.92,2024年4季度股票投资明细
312,600763,通策医疗,0.05,2.65,117.66,2024年4季度股票投资明细
313,300363,博腾股份,0.05,7.33,115.59,2024年4季度股票投资明细
314,688253,英诺特,0.05,3.18,115.37,2024年4季度股票投资明细
315,688050,爱博医疗,0.04,1.17,106.42,2024年4季度股票投资明细
316,688658,悦康药业,0.04,7.24,104.38,2024年4季度股票投资明细
317,600521,华海药业,0.04,5.78,103.29,2024年4季度股票投资明细
318,688009,中国通号,0.04,15.56,97.43,2024年4季度股票投资明细
319,300492,华图山鼎,0.04,1.29,94.14,2024年4季度股票投资明细
320,600827,百联股份,0.04,8.58,93.78,2024年4季度股票投资明细
321,688076,诺泰生物,0.03,1.61,83.45,2024年4季度股票投资明细
322,603108,润达医疗,0.03,5.05,80.45,2024年4季度股票投资明细
323,601636,旗滨集团,0.02,10.69,59.97,2024年4季度股票投资明细
324,601857,中国石油,0.02,5.72,51.14,2024年4季度股票投资明细
325,688351,微电生理,0.02,2.48,47.25,2024年4季度股票投资明细
326,301080,百普赛斯,0.01,0.79,34.87,2024年4季度股票投资明细
327,300435,中泰股份,0.01,2.43,29.35,2024年4季度股票投资明细
328,688443,智翔金泰,0.01,1.0,25.21,2024年4季度股票投资明细
329,300996,普联软件,0.01,1.3,23.49,2024年4季度股票投资明细
330,601058,赛轮轮胎,0.01,1.44,20.64,2024年4季度股票投资明细
331,002821,凯莱英,0.01,0.23,17.5,2024年4季度股票投资明细
332,300723,一品红,0.01,0.8,13.65,2024年4季度股票投资明细
333,301626,苏州天脉,0.0,0.1,6.3,2024年4季度股票投资明细
334,688615,合合信息,0.0,0.03,4.79,2024年4季度股票投资明细
335,688708,佳驰科技,0.0,0.08,3.82,2024年4季度股票投资明细
336,688726,拉普拉斯,0.0,0.1,3.24,2024年4季度股票投资明细
337,001391,国货航,0.0,0.47,3.19,2024年4季度股票投资明细
338,301551,无线传媒,0.0,0.07,2.82,2024年4季度股票投资明细
339,603072,天和磁材,0.0,0.23,2.77,2024年4季度股票投资明细
340,300866,安克创新,0.0,0.02,2.32,2024年4季度股票投资明细
341,301522,上大股份,0.0,0.08,2.03,2024年4季度股票投资明细
342,301556,托普云农,0.0,0.03,1.58,2024年4季度股票投资明细
343,688139,海尔生物,0.0,0.04,1.57,2024年4季度股票投资明细
344,301631,壹连科技,0.0,0.02,1.56,2024年4季度股票投资明细
345,301606,绿联科技,0.0,0.04,1.45,2024年4季度股票投资明细
346,301571,国科天成,0.0,0.04,1.43,2024年4季度股票投资明细
347,301622,英思特,0.0,0.03,1.37,2024年4季度股票投资明细
348,301608,博实结,0.0,0.02,1.2,2024年4季度股票投资明细
349,301613,新铝时代,0.0,0.03,1.15,2024年4季度股票投资明细
350,301586,佳力奇,0.0,0.02,1.14,2024年4季度股票投资明细
351,688710,益诺思,0.0,0.03,1.11,2024年4季度股票投资明细
352,301617,博苑股份,0.0,0.03,1.01,2024年4季度股票投资明细
353,301603,乔锋智能,0.0,0.02,0.98,2024年4季度股票投资明细
354,301607,富特科技,0.0,0.03,0.93,2024年4季度股票投资明细
355,603194,中力股份,0.0,0.03,0.82,2024年4季度股票投资明细
356,301552,科力装备,0.0,0.01,0.81,2024年4季度股票投资明细
357,001279,强邦新材,0.0,0.03,0.74,2024年4季度股票投资明细
358,688530,欧莱新材,0.0,0.03,0.64,2024年4季度股票投资明细
359,301502,华阳智能,0.0,0.01,0.59,2024年4季度股票投资明细
360,603395,红四方,0.0,0.02,0.55,2024年4季度股票投资明细
361,603207,小方制药,0.0,0.02,0.49,2024年4季度股票投资明细
362,300832,新产业,0.0,0.01,0.49,2024年4季度股票投资明细
363,603310,巍华新材,0.0,0.03,0.46,2024年4季度股票投资明细
364,603091,众鑫股份,0.0,0.01,0.42,2024年4季度股票投资明细
365,603350,安乃达,0.0,0.01,0.38,2024年4季度股票投资明细
366,603285,键邦股份,0.0,0.01,0.29,2024年4季度股票投资明细
367,301262,海看股份,0.0,0.01,0.29,2024年4季度股票投资明细
368,603712,七一二,0.0,0.01,0.1,2024年4季度股票投资明细
369,601966,玲珑轮胎,0.0,0.0,0.09,2024年4季度股票投资明细
