,012863,013942,165520,002611,013048,005551,018495,257060,020422,012061,010391,017963,011937,161022,006719,400032,007817,013466,519180,002179,001614,018048,012728,007605,007153,010033,020114,008086,006195,519196,004206,006486,017387,006105,006680,007721,007844,008708,021842,040047,096001,100055,162415,501225,025833,004752,018861,017512,010341,002170,008811,005063,022328,501311,005693,001270,010052,0000汇总
012863,1.0000,0.0875,0.0362,0.0000,0.7540,0.0000,0.1240,0.0000,0.0000,0.0165,0.1452,0.0000,0.0000,0.0000,0.0175,0.0000,0.0000,0.0496,0.0884,0.4141,0.0000,0.0529,0.0000,0.1372,0.0000,0.2978,0.0000,0.0000,0.1250,0.2290,0.0713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.3989,0.0051,0.0000,0.0593,0.0000,0.0000,0.0076,0.0000,0.2368,0.0000,0.0435
013942,0.0875,1.0000,0.5208,0.0000,0.2471,0.0004,0.0045,0.0000,0.0000,0.0000,0.0022,0.0000,0.0072,0.0000,0.0004,0.0001,0.0000,0.0049,0.0783,0.1543,0.0002,0.0003,0.0000,0.0201,0.0000,0.0004,0.0000,0.0004,0.1562,0.0134,0.0080,0.0531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,0.1155,0.0005,0.0226,0.0000,0.0000,0.0000,0.0000,0.0242,0.0137,0.0010
165520,0.0362,0.5208,1.0000,0.0000,0.1240,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,0.1624,0.1312,0.0001,0.0000,0.0000,0.0199,0.0000,0.0000,0.0000,0.0000,0.1972,0.0103,0.0058,0.4285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0815,0.0000,0.1816,0.0000,0.0000,0.0000,0.0000,0.0321,0.1058,0.0000
002611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
013048,0.7540,0.2471,0.1240,0.0000,1.0000,0.0649,0.1478,0.0000,0.0000,0.0081,0.2071,0.0000,0.0173,0.0000,0.0242,0.0000,0.0000,0.0721,0.0823,0.3430,0.0000,0.0544,0.0000,0.0728,0.0000,0.4187,0.0000,0.1027,0.1570,0.0002,0.1490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.3629,0.0422,0.1002,0.0307,0.0000,0.0000,0.0074,0.0000,0.1317,0.1107,0.2384
005551,0.0000,0.0004,0.0000,0.0000,0.0649,1.0000,0.3722,0.0000,0.0000,0.0025,0.4350,0.0000,0.2940,0.0000,0.6242,0.2579,0.2063,0.4251,0.2386,0.2200,0.2182,0.7926,0.0000,0.0000,0.0000,0.3442,0.0000,0.4399,0.3124,0.5981,0.3186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0044,0.4458,0.2187,0.4627,0.1811,0.0000,0.0000,0.0040,0.0000,0.3898,0.7082,0.4968
018495,0.1240,0.0045,0.0001,0.0000,0.1478,0.3722,1.0000,0.0000,0.0000,0.6990,0.8510,0.0801,0.5048,0.0000,0.3966,0.0000,0.3952,0.2939,0.1300,0.2685,0.0000,0.0893,0.0000,0.0118,0.0000,0.8337,0.0000,0.5721,0.1818,0.4090,0.4976,0.0000,0.0000,0.7058,0.7058,0.0000,0.7058,0.7058,0.7058,0.0000,0.7058,0.7061,0.7058,0.0000,0.0000,0.0000,0.7029,0.2142,0.7283,0.5634,0.6610,0.0000,0.0000,0.7063,0.0000,0.2743,0.4778,0.4744
257060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
020422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
