序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
119,600519,贵州茅台,15.33,460.76,702192.14,2024年4季度股票投资明细
120,000858,五粮液,14.68,4804.17,672776.26,2024年4季度股票投资明细
121,600809,山西汾酒,14.05,3495.55,643915.71,2024年4季度股票投资明细
122,000568,泸州老窖,13.89,5083.58,636463.83,2024年4季度股票投资明细
123,002304,洋河股份,8.56,4694.52,392133.2,2024年4季度股票投资明细
124,603369,今世缘,5.79,5864.54,265253.31,2024年4季度股票投资明细
125,000596,古井贡酒,4.82,1273.14,220635.87,2024年4季度股票投资明细
126,603589,口子窖,2.4,2804.23,110037.99,2024年4季度股票投资明细
127,600702,舍得酒业,2.37,1645.38,108479.61,2024年4季度股票投资明细
128,603198,迎驾贡酒,2.2,1869.41,100836.23,2024年4季度股票投资明细
129,600559,老白干酒,2.07,4526.9,95019.57,2024年4季度股票投资明细
130,000799,酒鬼酒,1.94,1594.75,88699.73,2024年4季度股票投资明细
131,600779,水井坊,1.77,1519.24,81309.93,2024年4季度股票投资明细
132,000860,顺鑫农业,1.55,3658.54,71231.86,2024年4季度股票投资明细
133,600199,金种子酒,0.94,3255.04,43292.09,2024年4季度股票投资明细
134,600197,伊力特,0.83,2207.4,38077.72,2024年4季度股票投资明细
135,603919,金徽酒,0.69,1616.1,31675.55,2024年4季度股票投资明细
136,002646,天佑德酒,0.53,2254.33,24234.06,2024年4季度股票投资明细
137,688981,中芯国际,0.05,23.22,2196.84,2024年4季度股票投资明细
138,601658,邮储银行,0.01,79.66,452.46,2024年4季度股票投资明细
139,688223,晶科能源,0.0,21.3,151.44,2024年4季度股票投资明细
140,601077,渝农商行,0.0,20.48,123.89,2024年4季度股票投资明细
141,300999,金龙鱼,0.0,1.21,39.5,2024年4季度股票投资明细
142,688180,君实生物,0.0,1.06,29.02,2024年4季度股票投资明细
143,688295,中复神鹰,0.0,1.4,27.9,2024年4季度股票投资明细
144,688686,奥普特,0.0,0.34,26.07,2024年4季度股票投资明细
145,688698,伟创电气,0.0,0.48,20.9,2024年4季度股票投资明细
146,688772,珠海冠宇,0.0,1.3,20.84,2024年4季度股票投资明细
147,688131,皓元医药,0.0,0.54,19.15,2024年4季度股票投资明细
148,688508,芯朋微,0.0,0.37,16.02,2024年4季度股票投资明细
149,688076,诺泰生物,0.0,0.3,15.49,2024年4季度股票投资明细
150,688339,亿华通,0.0,0.35,8.34,2024年4季度股票投资明细
151,688575,亚辉龙,0.0,0.48,7.6,2024年4季度股票投资明细
152,688733,壹石通,0.0,0.34,6.44,2024年4季度股票投资明细
153,301626,苏州天脉,0.0,0.1,6.3,2024年4季度股票投资明细
154,688308,欧科亿,0.0,0.34,6.21,2024年4季度股票投资明细
155,688615,合合信息,0.0,0.03,4.79,2024年4季度股票投资明细
156,688316,青云科技,0.0,0.14,4.78,2024年4季度股票投资明细
157,301611,珂玛科技,0.0,0.08,4.51,2024年4季度股票投资明细
158,688317,之江生物,0.0,0.27,4.45,2024年4季度股票投资明细
159,688449,联芸科技,0.0,0.14,4.14,2024年4季度股票投资明细
160,688605,先锋精科,0.0,0.07,3.99,2024年4季度股票投资明细
161,688708,佳驰科技,0.0,0.08,3.82,2024年4季度股票投资明细
162,688726,拉普拉斯,0.0,0.1,3.24,2024年4季度股票投资明细
163,001391,国货航,0.0,0.47,3.19,2024年4季度股票投资明细
164,301551,无线传媒,0.0,0.07,2.82,2024年4季度股票投资明细
165,603072,天和磁材,0.0,0.23,2.77,2024年4季度股票投资明细
166,688313,仕佳光子,0.0,0.16,2.64,2024年4季度股票投资明细
167,688750,金天钛业,0.0,0.17,2.6,2024年4季度股票投资明细
168,688613,奥精医疗,0.0,0.13,2.38,2024年4季度股票投资明细
169,301522,上大股份,0.0,0.08,2.03,2024年4季度股票投资明细
170,688721,龙图光罩,0.0,0.03,1.59,2024年4季度股票投资明细
171,301556,托普云农,0.0,0.03,1.58,2024年4季度股票投资明细
172,301631,壹连科技,0.0,0.02,1.56,2024年4季度股票投资明细
173,301606,绿联科技,0.0,0.04,1.45,2024年4季度股票投资明细
174,301571,国科天成,0.0,0.04,1.43,2024年4季度股票投资明细
175,301622,英思特,0.0,0.03,1.37,2024年4季度股票投资明细
176,301608,博实结,0.0,0.02,1.2,2024年4季度股票投资明细
177,301613,新铝时代,0.0,0.03,1.15,2024年4季度股票投资明细
178,301586,佳力奇,0.0,0.02,1.14,2024年4季度股票投资明细
179,688710,益诺思,0.0,0.03,1.11,2024年4季度股票投资明细
180,301617,博苑股份,0.0,0.03,1.01,2024年4季度股票投资明细
181,301603,乔锋智能,0.0,0.02,0.98,2024年4季度股票投资明细
