序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
182,301607,富特科技,0.0,0.03,0.93,2024年4季度股票投资明细
183,603194,中力股份,0.0,0.03,0.82,2024年4季度股票投资明细
184,301552,科力装备,0.0,0.01,0.81,2024年4季度股票投资明细
185,301585,蓝宇股份,0.0,0.02,0.75,2024年4季度股票投资明细
186,001279,强邦新材,0.0,0.03,0.74,2024年4季度股票投资明细
187,603395,红四方,0.0,0.02,0.55,2024年4季度股票投资明细
188,603207,小方制药,0.0,0.02,0.49,2024年4季度股票投资明细
189,603310,巍华新材,0.0,0.03,0.46,2024年4季度股票投资明细
190,603091,众鑫股份,0.0,0.01,0.42,2024年4季度股票投资明细
191,603391,力聚热能,0.0,0.01,0.41,2024年4季度股票投资明细
192,603350,安乃达,0.0,0.01,0.38,2024年4季度股票投资明细
193,603205,健尔康,0.0,0.01,0.35,2024年4季度股票投资明细
194,603285,键邦股份,0.0,0.01,0.29,2024年4季度股票投资明细
