,005827,161725,003095,110022,000001,000011
005827,1.0000,0.6590,0.0043,0.5804,0.0012,0.0058
161725,0.6590,1.0000,0.0000,0.8808,0.0002,0.0000
003095,0.0043,0.0000,1.0000,0.0235,0.2679,0.2071
110022,0.5804,0.8808,0.0235,1.0000,0.0232,0.0746
000001,0.0012,0.0002,0.2679,0.0232,1.0000,0.6671
000011,0.0058,0.0000,0.2071,0.0746,0.6671,1.0000
