序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
88,600660,福耀玻璃,9.6,3029.17,189019.9,2024年4季度股票投资明细
89,000333,美的集团,9.58,2507.93,188646.19,2024年4季度股票投资明细
90,600519,贵州茅台,9.15,118.19,180116.99,2024年4季度股票投资明细
91,000858,五粮液,8.59,1207.31,169071.2,2024年4季度股票投资明细
92,600809,山西汾酒,7.56,807.73,148791.76,2024年4季度股票投资明细
93,000596,古井贡酒,7.02,797.8,138258.88,2024年4季度股票投资明细
94,601633,长城汽车,6.57,4911.4,129317.07,2024年4季度股票投资明细
95,605499,东鹏饮料,4.93,390.53,97055.51,2024年4季度股票投资明细
96,600690,海尔智家,4.11,2838.24,80804.7,2024年4季度股票投资明细
97,601058,赛轮轮胎,3.55,4874.05,69845.18,2024年4季度股票投资明细
98,002594,比亚迪,3.35,233.09,65884.74,2024年4季度股票投资明细
99,000860,顺鑫农业,3.21,3241.41,63110.32,2024年4季度股票投资明细
100,000423,东阿阿胶,2.61,817.96,51302.28,2024年4季度股票投资明细
101,600600,青岛啤酒,1.99,482.85,39072.21,2024年4季度股票投资明细
102,600612,老凤祥,1.77,642.49,34867.78,2024年4季度股票投资明细
103,688036,传音控股,1.26,260.61,24758.36,2024年4季度股票投资明细
104,603833,欧派家居,1.15,327.44,22573.7,2024年4季度股票投资明细
105,000568,泸州老窖,0.96,151.5,18968.01,2024年4季度股票投资明细
106,300498,温氏股份,0.46,544.38,8987.72,2024年4季度股票投资明细
107,301626,苏州天脉,0.0,0.1,6.3,2024年4季度股票投资明细
108,688449,联芸科技,0.0,0.14,4.14,2024年4季度股票投资明细
109,688605,先锋精科,0.0,0.07,3.99,2024年4季度股票投资明细
110,688708,佳驰科技,0.0,0.08,3.82,2024年4季度股票投资明细
111,603072,天和磁材,0.0,0.23,2.77,2024年4季度股票投资明细
112,688750,金天钛业,0.0,0.17,2.6,2024年4季度股票投资明细
113,301522,上大股份,0.0,0.08,2.03,2024年4季度股票投资明细
114,688721,龙图光罩,0.0,0.03,1.59,2024年4季度股票投资明细
115,301631,壹连科技,0.0,0.02,1.56,2024年4季度股票投资明细
116,301606,绿联科技,0.0,0.04,1.45,2024年4季度股票投资明细
117,301571,国科天成,0.0,0.04,1.43,2024年4季度股票投资明细
118,301622,英思特,0.0,0.03,1.37,2024年4季度股票投资明细
119,301608,博实结,0.0,0.02,1.2,2024年4季度股票投资明细
120,301580,爱迪特,0.0,0.02,1.17,2024年4季度股票投资明细
121,301613,新铝时代,0.0,0.03,1.15,2024年4季度股票投资明细
122,301586,佳力奇,0.0,0.02,1.14,2024年4季度股票投资明细
123,688710,益诺思,0.0,0.03,1.11,2024年4季度股票投资明细
124,301617,博苑股份,0.0,0.03,1.01,2024年4季度股票投资明细
125,301603,乔锋智能,0.0,0.02,0.98,2024年4季度股票投资明细
126,603194,中力股份,0.0,0.03,0.82,2024年4季度股票投资明细
127,301552,科力装备,0.0,0.01,0.81,2024年4季度股票投资明细
128,301585,蓝宇股份,0.0,0.02,0.75,2024年4季度股票投资明细
129,603395,红四方,0.0,0.02,0.55,2024年4季度股票投资明细
130,603207,小方制药,0.0,0.02,0.49,2024年4季度股票投资明细
131,603310,巍华新材,0.0,0.03,0.46,2024年4季度股票投资明细
132,603091,众鑫股份,0.0,0.01,0.42,2024年4季度股票投资明细
133,603381,永臻股份,0.0,0.02,0.39,2024年4季度股票投资明细
134,603350,安乃达,0.0,0.01,0.38,2024年4季度股票投资明细
135,603205,健尔康,0.0,0.01,0.35,2024年4季度股票投资明细
136,603285,键邦股份,0.0,0.01,0.29,2024年4季度股票投资明细
