,005827,161725,003095,110022,000001,000011
005827,1.0000,0.3136,0.0084,0.5031,0.0005,0.0090
161725,0.3136,1.0000,0.0061,0.4351,0.0001,0.0000
003095,0.0084,0.0061,1.0000,0.0155,0.1455,0.1079
110022,0.5031,0.4351,0.0155,1.0000,0.0154,0.0422
000001,0.0005,0.0001,0.1455,0.0154,1.0000,0.3811
000011,0.0090,0.0000,0.1079,0.0422,0.3811,1.0000
