fund_code,fund_name,sharpe_all,sharpe_1y,sharpe_ytd,annualized_return,volatility,total_days
001270,英大灵活配置混合型发起式A,0.04363975656726666,0.5750281520543801,-0.9224784122028369,0.038907890093920594,0.20412327644838954,2665
001614,东方区域发展混合,0.0326222756954621,0.44907246565458625,-0.8130076108350075,0.038735901111764504,0.26778944526484116,2334
002179,华安事件驱动量化混合A,0.3473561192247734,1.7040681633543935,1.981806867560671,0.11335738170077803,0.23997671866790304,2255
002423,华宝标普美国消费美元,0.3829237880512719,0.10969604167724875,-1.466817540965166,0.1097985323816475,0.20839272688632968,2445
002611,博时黄金ETF联接C,0.8360383808845914,2.3642636201479585,3.5469149498804833,0.1407342138247214,0.1324511127199164,2403
003017,广发中证军工ETF联接A,0.0332483742096207,1.3860751781927312,1.1083390594407323,0.03881196836949585,0.26503456421475297,2316
004206,华商元亨混合A,0.612053625495155,2.205517581662977,0.5230380977847132,0.13783272734719443,0.1761818292636648,2198
005550,汇安成长优选混合A,0.3768163631749091,2.502611058342115,2.723425926217514,0.13737883785553695,0.28496330931811015,1969
006105,宏利印度股票(QDII)A,0.12717905502089358,-0.39146690391996086,-2.1295961123482816,0.05072976852620803,0.16299671768124432,1728
006106,景顺长城量化港股通股票A,0.030071550408842445,1.1793483309444328,1.7646742098180748,0.0355677506354346,0.18515010233052115,1636
006195,国金量化多因子股票A,0.7559407398692123,2.9643214323688953,4.200165323227158,0.18302440034510803,0.20242909566110073,1792
006373,国富全球科技互联混合(QDII)人民币A,1.1215295637255016,1.6607944656037668,9.58961934574983,0.2647779565483821,0.20933728734577062,1768
006486,广发中证1000ETF联接A,0.22131611239618884,1.3221236588910996,3.057323559715182,0.07975231448343334,0.2248020442107228,1791
006614,嘉实港股通新经济指数C,-0.054237124608911454,0.07176677129628714,-1.3599320565227258,0.01380054953865617,0.29867826840293393,1744
006718,国融融盛龙头严选混合A,0.14779934533969175,-0.7530764665474944,-2.4074392786254224,0.07704725906042609,0.3183184536595608,1619
007153,汇添富中证银行ETF联接A,0.14991953868223157,0.14733467320654836,-2.199074292535287,0.05506113162445736,0.16716387900296814,1680
007605,嘉实沪深300红利低波动ETF联接A,0.0867679275332351,-0.943494921864153,0.46957795774466643,0.042044626674539565,0.13881427178177166,1531
007721,天弘标普500发起(QDII-FOF)A,0.5752196560752839,0.4986352445263169,-0.44380809308550795,0.12796017832824313,0.17030047094813158,1562
007844,华宝标普油气上游股票人民币C,0.22222755459469243,0.07412078701841092,8.391124051753978,0.12096023734512107,0.40931124635294674,1496
008401,大成标普500等权重指数(QDII)C人民币,0.2587920482803136,0.1339081498740594,-0.6829222864053397,0.06589115632570408,0.1386872454706497,602
008706,建信富时100指数(QDII)C人民币,0.34064643605133477,1.5191279779372004,4.195882662844007,0.08607947275226535,0.16462662402202347,1461
008811,鹏华科技创新混合,0.38397504120477155,1.7289063712811101,5.3225532157246045,0.12161856185332276,0.2386055134361276,1460
009891,融通产业趋势臻选股票A,0.44411757679890435,2.2122254310040135,0.002184725220451566,0.16826932486879298,0.31133495293162217,1317
010052,长城久嘉创新成长混合C,0.17537841123816333,1.911927313723363,0.796077283069403,0.09318969084974427,0.3603048425608832,1144
010341,招商产业精选股票A,0.12857050216658156,1.0958614748430717,6.700678309552099,0.05813178276165987,0.21880433137930116,1251
010391,易方达战略新兴产业股票A,0.31236166726875614,2.7238798250441714,0.3950817101793919,0.12603576847539966,0.30745055664199167,1229
011936,华夏阿尔法精选混合A,-0.148543424108845,0.6144174817579219,-0.5945945293838771,-0.003446311567568361,0.22516184589269075,1081
012060,富国全球消费精选混合(QDII)人民币A,0.6379868053602462,2.0972495110437537,5.220213973098592,0.1403207651862457,0.1729201360582244,1086
012509,兴全安悦稳健养老一年持有混合(FOF)A,0.2411332687901741,1.15489662995658,0.6441643385499736,0.04055355886630463,0.043766498580865565,1046
012728,国泰中证动漫游戏ETF联接A,0.29260093926564407,1.0012204070749264,4.106763376073339,0.13275697363487993,0.35118470191098666,1152
013048,富国中证新能源汽车指数(LOF)C,-0.2365130463944753,1.3670486684808107,-1.2107926815557455,-0.04273335766362063,0.30752365999425735,1137
013277,富国创业板ETF联接C,-0.20519355364556774,1.7054780575012525,0.15252213893636304,-0.02656853788317326,0.27568379648458397,1116
013465,博时智选量化多因子股票A,0.11968913077808395,0.14157472158863943,0.8253833963086112,0.05814966896563778,0.235189852099688,1018
014978,华安纳斯达克100ETF联接(QDII)C,0.5812170814471839,0.3063533723025447,-1.0127716846257206,0.16254550985372385,0.2280482010674844,981
015016,华安德国(DAX)联接(QDII)C,0.613108966456919,0.9382603676818796,0.11778416191091509,0.13590150197967366,0.1727286791965633,981
015577,国联安上证商品ETF联接C,0.6253597369030228,2.631479945232014,6.352395236847723,0.151528917525523,0.19433441322489395,938
016667,景顺长城全球半导体芯片股票A(QDII-LOF)(美元现汇),0.0849432254491202,1.784059226745473,4.542888874793024,0.33342018539733465,3.572035130442263,704
017512,广发北证50成份指数A,0.4433569005310235,0.5709251845524967,1.5005777582967876,0.21121956165129996,0.4087442000660127,778
017962,广发医药创新混合发起式A,0.148809582056591,0.7668532898087647,-1.5643507906690726,0.07211369703340398,0.28300393329099266,599
018048,申万菱信数字产业股票型发起式A,0.3385153159469143,0.6743629463859886,3.152913541571255,0.15310390668162577,0.3636583069728249,647
020422,华夏中证港股通内地金融ETF发起式联接A,1.5207390442569768,1.2272393640539825,1.582299326567782,0.34923688531007224,0.20992219968025433,521
