,005827,161725,003095,110022,000001,000011
005827,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
161725,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
003095,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
110022,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
000001,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
000011,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
