,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,win_rate,profit_loss_ratio,final_value,total_trades
dual_ma,0.5120078591604564,0.14923993241320965,0.18461672535459886,-0.15738062760394,0.6458782766522478,0.47593582887700536,1.1487999854193498,15120.078591604564,689.0
mean_reversion,0.6410134877405678,0.18133802015132372,0.8305893428728,-0.3904619575827917,0.18220558865814906,0.47459893048128343,1.4726782637749882,14769.12138966511,667.0
target_value,0.7167704315771681,0.19941257822819036,0.12508689596648315,-0.11047541462585504,1.354359119068589,0.517379679144385,1.2112926241414377,15450.933884194514,749.0
grid,0.12065574710691686,0.039070128964411976,1.3019750760556705,-0.4055042538055319,0.0069664382454155,0.30213903743315507,1.2524495566012972,10085.901723962252,76.0
enhanced_rule_based,0.6150886521878576,0.17502572664424743,0.36246736374568556,-0.20574299140321828,0.4001069921042613,0.516042780748663,1.1558423249257561,16150.886521878576,337.0
